ticket_id,created_date,created_timestamp,ticket_type,ticket_subject,ticket_description,ticket_status,resolution,ticket_priority,ticket_channel,channel_raw,is_self_serve,product_area,customer_segment,resolution_outcome,resolved_by_automation,first_response_time_minutes,time_to_resolution_minutes,agent_id,cost_per_ticket_usd,csat_responded,customer_satisfaction_rating,reopened,country,device_type
TCK104326,2025-03-21,2025-03-21T00:07:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Medium,Community Forum,community_forum,True,technical_issue,paid_basic,resolved_bot,True,19.91,22.67,,0.42,False,,False,DE,Desktop
TCK126510,2025-03-30,2025-03-30T04:59:00,General Inquiry,How to close account,Customer wants to know the steps to close their account.,Closed,Provided account closure steps and confirmed customer's request.,Medium,Community Forum,community_forum,True,general_inquiry,free,resolved_bot,True,134.82,136.92,,0.29,False,,False,FR,Mobile
TCK115073,2025-03-31,2025-03-31T02:49:00,Shipping Issue,Shipping address needs correction,Customer needs to correct the shipping address before dispatch.,Closed,Shipping address updated successfully before order dispatch.,Medium,Phone,phone,False,shipping,paid_basic,resolved_agent,False,1.1,1.36,AG1113,6.77,False,,False,UK,Desktop
TCK118048,2025-04-04,2025-04-04T19:02:00,Billing Inquiry,Request to downgrade subscription plan,Customer wants to downgrade their current subscription plan to a lower tier.,Closed,Subscription downgraded effective next billing cycle as requested.,High,Chat,live_chat_agent,False,billing,paid_basic,resolved_agent,False,15.07,27.15,AG1040,4.92,True,5.0,False,IN,Mobile
TCK128559,2025-04-06,2025-04-06T21:53:00,General Inquiry,How to close account,Customer wants to know the steps to close their account.,Closed,Provided account closure steps and confirmed customer's request.,Low,Chat,live_chat_agent,False,general_inquiry,paid_basic,resolved_agent,False,7.39,85.05,AG1119,2.97,False,,False,AU,Desktop
TCK128911,2025-04-07,2025-04-07T20:07:00,Technical Issue,Mobile app freezes randomly,Customer's mobile app freezes intermittently during normal use.,Pending Customer Response,,Medium,Chatbot,self_serve_bot,True,technical_issue,paid_premium,escalated_to_agent,False,1.22,,AG1166,4.88,False,,False,IN,Desktop
TCK144712,2025-04-10,2025-04-10T10:09:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Pending Customer Response,,Medium,Chat,live_chat_agent,False,technical_issue,paid_basic,reopened_case,False,1.36,,AG1084,3.5,False,,False,DE,Desktop
TCK105525,2025-04-10,2025-04-10T01:05:00,Returns/Refunds,Item return rejected by warehouse,Customer's returned item was rejected by the warehouse for unclear reasons.,Closed,Item re-inspected and refund approved after warehouse review.,Medium,Chatbot,self_serve_bot,True,returns_refunds,paid_premium,abandoned,False,0.7,46.21,,0.19,False,,False,FR,Mobile
TCK113356,2025-04-11,2025-04-11T04:23:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,Medium,Phone,phone,False,technical_issue,paid_premium,resolved_agent,False,5.07,44.16,AG1081,10.41,True,5.0,False,BR,Mobile
TCK149691,2025-04-11,2025-04-11T11:52:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Low,Community Forum,community_forum,True,account_access,enterprise,resolved_bot,True,99.85,100.09,,0.4,False,,False,UK,Tablet
TCK101030,2025-04-13,2025-04-13T12:21:00,Technical Issue,Mobile app freezes randomly,Customer's mobile app freezes intermittently during normal use.,Open,,Low,Email,email,False,technical_issue,paid_premium,unresolved,False,55.64,,AG1036,5.97,False,,False,IN,Desktop
TCK100628,2025-04-13,2025-04-13T11:14:00,Shipping Issue,Package marked delivered but not received,Customer's tracking shows delivered status but they have not received the package.,Open,,Low,Community Forum,community_forum,True,shipping,enterprise,unresolved,False,147.16,,AG1034,0.73,False,,False,AU,Mobile
TCK136437,2025-04-15,2025-04-15T04:19:00,Billing Inquiry,Question about subscription renewal,Customer is asking when their subscription will renew and at what price.,Open,,High,Chatbot,self_serve_bot,True,billing,enterprise,unresolved,False,0.19,,AG1176,0.12,False,,False,DE,Mobile
TCK119370,2025-04-16,2025-04-16T00:25:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Low,Email,email,False,technical_issue,free,resolved_agent,False,133.85,238.04,AG1094,3.93,True,1.0,False,CA,Desktop
TCK106925,2025-04-17,2025-04-17T05:31:00,General Inquiry,Asking about company policies,Customer wants clarification on a specific company policy.,Closed,Clarified the relevant company policy in detail.,Critical,Chat,live_chat_agent,False,general_inquiry,paid_premium,resolved_agent,False,1.49,110.86,AG1001,5.76,True,2.0,False,FR,Desktop
TCK149788,2025-04-17,2025-04-17T06:33:00,Billing Inquiry,Discrepancy in billed amount,Customer believes the amount billed does not match their selected plan.,Open,,Medium,Chatbot,self_serve_bot,True,billing,paid_basic,escalated_to_agent,False,0.87,,AG1004,6.07,False,,True,CA,Mobile
TCK116386,2025-04-18,2025-04-18T05:42:00,Technical Issue,Unable to log in to account,Customer is unable to log in despite entering correct credentials and resetting password.,Pending Customer Response,,High,Community Forum,community_forum,True,technical_issue,paid_basic,unresolved,False,239.36,,AG1077,0.39,False,,True,IN,Mobile
TCK123679,2025-04-21,2025-04-21T23:05:00,Technical Issue,Integration with third-party tool failing,Customer cannot connect their account to a third-party integration tool.,Closed,Reconnected the integration using updated API credentials.,High,Community Forum,community_forum,True,technical_issue,paid_premium,resolved_bot,True,23.34,24.33,,0.31,False,,False,BR,Tablet
TCK107635,2025-04-22,2025-04-22T14:43:00,General Inquiry,General feedback about service,Customer is providing general feedback about their experience.,Closed,Thanked customer for feedback and logged it for the product team.,Medium,Chatbot,self_serve_bot,True,general_inquiry,free,resolved_bot,True,0.49,3.58,,0.24,False,,False,FR,Desktop
TCK139483,2025-04-24,2025-04-24T20:39:00,Billing Inquiry,Question about subscription renewal,Customer is asking when their subscription will renew and at what price.,Open,,Medium,Community Forum,community_forum,True,billing,free,unresolved,False,33.41,,AG1193,0.26,False,,False,AU,Mobile
TCK106943,2025-04-26,2025-04-26T06:46:00,Billing Inquiry,Invoice missing for last billing cycle,Customer did not receive an invoice for the most recent billing period.,Pending Customer Response,,Critical,Community Forum,community_forum,True,billing,free,unresolved,False,304.9,,AG1191,0.13,False,,False,US,Mobile
TCK143467,2025-04-29,2025-04-29T11:34:00,Shipping Issue,Delayed shipment,Customer's order is significantly delayed beyond the estimated delivery window.,Open,,High,Community Forum,community_forum,True,shipping,paid_basic,escalated_to_agent,False,225.4,,AG1158,4.91,False,,False,CA,Mobile
TCK104107,2025-04-30,2025-04-30T02:59:00,Technical Issue,Feature not loading correctly,Customer states a specific feature fails to load and shows a blank screen.,Closed,Cleared browser cache and the feature loaded successfully afterward.,Medium,Community Forum,community_forum,True,account_access,free,resolved_bot,True,161.97,163.49,,0.43,False,,False,CA,Mobile
TCK148989,2025-05-01,2025-05-01T16:20:00,General Inquiry,How to contact support faster,Customer is asking the best way to reach support for faster help.,Closed,Shared fastest support contact channels and expected response times.,Medium,Phone,phone,False,general_inquiry,paid_premium,resolved_agent,False,4.88,64.7,AG1160,17.36,True,5.0,False,AU,Desktop
TCK144328,2025-05-02,2025-05-02T18:27:00,Technical Issue,Mobile app freezes randomly,Customer's mobile app freezes intermittently during normal use.,Pending Customer Response,,Critical,Chatbot,self_serve_bot,True,technical_issue,enterprise,escalated_to_agent,False,0.59,,AG1012,6.13,False,,False,FR,Mobile
TCK112753,2025-05-05,2025-05-05T16:31:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,High,Chatbot,self_serve_bot,True,account_access,paid_basic,resolved_bot,True,0.42,0.86,,0.12,True,4.0,False,CA,Mobile
TCK113762,2025-05-07,2025-05-07T04:49:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Critical,Email,email,False,technical_issue,paid_basic,resolved_agent,False,221.5,410.43,AG1049,7.59,False,,False,CA,Desktop
TCK138313,2025-05-07,2025-05-07T11:25:00,Technical Issue,Integration with third-party tool failing,Customer cannot connect their account to a third-party integration tool.,Closed,Reconnected the integration using updated API credentials.,Low,Chatbot,self_serve_bot,True,account_access,free,resolved_bot,True,0.57,2.18,,0.32,False,,False,CA,Desktop
TCK148252,2025-05-07,2025-05-07T08:30:00,Billing Inquiry,Tax calculation looks incorrect,Customer noticed the tax amount on their invoice seems incorrect for their region.,Closed,Tax calculation reviewed and corrected based on updated billing address.,Low,Community Forum,community_forum,True,billing,paid_premium,resolved_bot,True,351.89,352.41,,0.57,False,,False,DE,Mobile
TCK114709,2025-05-07,2025-05-07T04:53:00,Returns/Refunds,Refund not yet processed,Customer returned an item weeks ago but has not received their refund.,Closed,Refund was located and processing delay was resolved; refund issued.,Medium,Chatbot,self_serve_bot,True,returns_refunds,enterprise,resolved_bot,True,0.13,1.07,,0.77,False,,False,CA,Desktop
TCK124810,2025-05-07,2025-05-07T02:41:00,Billing Inquiry,Unable to update payment method,Customer is unable to update their credit card details on the billing page.,Closed,Payment method updated successfully after clearing a stale card record.,Low,Chatbot,self_serve_bot,True,billing,paid_premium,resolved_bot,True,0.4,1.59,,0.5,True,5.0,False,UK,Mobile
TCK130963,2025-05-08,2025-05-08T07:04:00,Technical Issue,Unable to log in to account,Customer is unable to log in despite entering correct credentials and resetting password.,Pending Customer Response,,Low,Chat,live_chat_agent,False,account_access,free,reopened_case,False,3.44,,AG1077,5.24,False,,False,US,Desktop
TCK115118,2025-05-08,2025-05-08T23:12:00,Shipping Issue,Damaged item received,Customer received their order but the item arrived damaged.,Closed,Replacement item shipped at no cost due to damage in transit.,Medium,Email,email,False,shipping,paid_premium,resolved_agent,False,74.52,84.75,AG1110,5.62,False,,False,FR,Mobile
TCK136585,2025-05-10,2025-05-10T09:32:00,Shipping Issue,Missing item from order,Customer's order arrived with one or more items missing.,Closed,Missing item shipped separately at no additional cost.,High,Community Forum,community_forum,True,shipping,paid_basic,resolved_bot,True,287.3,290.21,,0.18,False,,False,AU,Desktop
TCK128169,2025-05-13,2025-05-13T22:50:00,Returns/Refunds,Item return rejected by warehouse,Customer's returned item was rejected by the warehouse for unclear reasons.,Closed,Item re-inspected and refund approved after warehouse review.,Medium,Email,email,False,returns_refunds,paid_basic,resolved_agent,False,49.43,131.31,AG1053,4.06,True,5.0,False,IN,Mobile
TCK121758,2025-05-15,2025-05-15T00:14:00,General Inquiry,General feedback about service,Customer is providing general feedback about their experience.,Closed,Thanked customer for feedback and logged it for the product team.,High,Email,email,False,general_inquiry,paid_basic,resolved_agent,False,36.55,54.14,AG1110,6.74,True,3.0,False,IN,Mobile
TCK129950,2025-05-16,2025-05-16T11:55:00,Returns/Refunds,Exchange request for wrong size,Customer wants to exchange an item for a different size.,Closed,Exchange processed and correct size shipped at no extra cost.,High,Phone,phone,False,returns_refunds,paid_premium,resolved_agent,False,5.6,45.44,AG1012,11.73,False,,False,FR,Mobile
TCK102008,2025-05-17,2025-05-17T08:43:00,General Inquiry,General navigation help,Customer needs general help navigating the website or app.,Closed,Provided navigation guidance and confirmed issue was resolved.,Critical,Community Forum,community_forum,True,general_inquiry,paid_basic,resolved_bot,True,19.91,20.22,,0.13,True,5.0,False,DE,Mobile
TCK123593,2025-05-17,2025-05-17T13:29:00,Returns/Refunds,Refund not yet processed,Customer returned an item weeks ago but has not received their refund.,Closed,Refund was located and processing delay was resolved; refund issued.,High,Community Forum,community_forum,True,returns_refunds,paid_basic,resolved_bot,True,349.08,349.71,,0.18,False,,False,US,Desktop
TCK121160,2025-05-17,2025-05-17T08:14:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Low,Chatbot,self_serve_bot,True,account_access,paid_basic,resolved_bot,True,0.53,3.91,,0.05,False,,True,BR,Mobile
TCK132389,2025-05-17,2025-05-17T19:34:00,Returns/Refunds,Restocking fee dispute,Customer is disputing a restocking fee applied to their return.,Closed,Restocking fee waived as a one-time courtesy.,Low,Chatbot,self_serve_bot,True,returns_refunds,paid_basic,resolved_bot,True,0.33,5.49,,0.34,False,,False,AU,Desktop
TCK110896,2025-05-18,2025-05-18T11:19:00,Shipping Issue,Shipping address needs correction,Customer needs to correct the shipping address before dispatch.,Closed,Shipping address updated successfully before order dispatch.,Medium,Community Forum,community_forum,True,shipping,paid_premium,resolved_bot,True,41.64,41.73,,0.56,False,,False,CA,Desktop
TCK136759,2025-05-20,2025-05-20T20:36:00,Technical Issue,Unable to log in to account,Customer is unable to log in despite entering correct credentials and resetting password.,Closed,Reset password link was resent and login issue was resolved.,Medium,Email,email,False,account_access,free,resolved_agent,False,183.98,191.49,AG1001,8.0,False,,False,US,Mobile
TCK138340,2025-05-22,2025-05-22T17:17:00,Billing Inquiry,Tax calculation looks incorrect,Customer noticed the tax amount on their invoice seems incorrect for their region.,Closed,Tax calculation reviewed and corrected based on updated billing address.,Low,Community Forum,community_forum,True,billing,enterprise,resolved_bot,True,147.46,149.56,,0.92,False,,False,IN,Desktop
TCK111625,2025-05-23,2025-05-23T19:42:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Medium,Chatbot,self_serve_bot,True,account_access,paid_basic,resolved_bot,True,0.36,1.1,,0.18,True,2.0,False,AU,Desktop
TCK110527,2025-05-23,2025-05-23T00:05:00,Billing Inquiry,Tax calculation looks incorrect,Customer noticed the tax amount on their invoice seems incorrect for their region.,Pending Customer Response,,Medium,Community Forum,community_forum,True,billing,paid_basic,escalated_to_agent,False,317.64,,AG1013,3.91,False,,True,UK,Mobile
TCK120034,2025-05-25,2025-05-25T08:04:00,General Inquiry,General navigation help,Customer needs general help navigating the website or app.,Closed,Provided navigation guidance and confirmed issue was resolved.,Low,Email,email,False,general_inquiry,free,resolved_agent,False,48.11,165.69,AG1174,4.15,True,4.0,False,BR,Desktop
TCK105545,2025-05-27,2025-05-27T08:10:00,Shipping Issue,Order stuck in customs,Customer's international order appears stuck in customs clearance.,Closed,Customs documentation resent to expedite clearance.,Low,Phone,phone,False,shipping,paid_basic,resolved_agent,False,2.11,25.7,AG1073,13.75,False,,False,CA,Desktop
TCK135204,2025-05-30,2025-05-30T13:40:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Medium,Chatbot,self_serve_bot,True,technical_issue,free,resolved_bot,True,1.75,4.53,,0.36,False,,False,US,Mobile
TCK141514,2025-05-30,2025-05-30T22:48:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,Critical,Email,email,False,account_access,free,resolved_agent,False,139.02,142.23,AG1161,5.73,False,,False,DE,Mobile
TCK139327,2025-05-31,2025-05-31T20:56:00,Billing Inquiry,Unable to update payment method,Customer is unable to update their credit card details on the billing page.,Closed,Payment method updated successfully after clearing a stale card record.,Low,Chat,live_chat_agent,False,billing,enterprise,resolved_agent,False,7.07,15.34,AG1177,11.62,True,5.0,False,CA,Mobile
TCK117240,2025-05-31,2025-05-31T22:44:00,Returns/Refunds,Item return rejected by warehouse,Customer's returned item was rejected by the warehouse for unclear reasons.,Closed,Item re-inspected and refund approved after warehouse review.,High,Chatbot,self_serve_bot,True,returns_refunds,paid_basic,resolved_bot,True,0.41,1.99,,0.09,True,1.0,False,FR,Mobile
TCK115269,2025-05-31,2025-05-31T08:47:00,Technical Issue,Feature not loading correctly,Customer states a specific feature fails to load and shows a blank screen.,Closed,Cleared browser cache and the feature loaded successfully afterward.,Medium,Email,email,False,technical_issue,paid_basic,resolved_agent,False,828.82,849.38,AG1139,4.75,False,,False,DE,Desktop
TCK100672,2025-06-01,2025-06-01T19:12:00,Returns/Refunds,Item return rejected by warehouse,Customer's returned item was rejected by the warehouse for unclear reasons.,Closed,Item re-inspected and refund approved after warehouse review.,Low,Community Forum,community_forum,True,returns_refunds,paid_basic,resolved_bot,True,184.16,187.68,,0.29,True,5.0,False,IN,Mobile
TCK112001,2025-06-01,2025-06-01T10:41:00,Returns/Refunds,Exchange request for wrong size,Customer wants to exchange an item for a different size.,Closed,Exchange processed and correct size shipped at no extra cost.,Low,Chat,live_chat_agent,False,returns_refunds,enterprise,resolved_agent,False,3.12,17.37,AG1006,7.11,False,,False,IN,Tablet
TCK145879,2025-06-01,2025-06-01T09:12:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Medium,Phone,phone,False,technical_issue,enterprise,resolved_agent,False,1.84,36.97,AG1081,25.39,True,4.0,False,DE,Mobile
TCK130638,2025-06-02,2025-06-02T08:15:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Medium,Email,email,False,account_access,free,resolved_agent,False,52.35,61.84,AG1077,3.72,True,4.0,False,AU,Desktop
TCK137736,2025-06-03,2025-06-03T12:17:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,High,Chat,live_chat_agent,False,technical_issue,paid_basic,resolved_agent,False,6.39,38.81,AG1172,2.55,False,,False,UK,Desktop
TCK113529,2025-06-04,2025-06-04T18:18:00,Shipping Issue,Package marked delivered but not received,Customer's tracking shows delivered status but they have not received the package.,Closed,Replacement shipped after confirming non-delivery with carrier.,Medium,Email,email,False,shipping,paid_basic,resolved_agent,False,65.61,168.05,AG1113,7.93,False,,False,BR,Mobile
TCK107530,2025-06-05,2025-06-05T17:58:00,General Inquiry,Question about account settings,Customer has a general question about managing their account settings.,Closed,Walked customer through account settings and confirmed resolution.,High,Chatbot,self_serve_bot,True,general_inquiry,free,resolved_bot,True,0.41,0.82,,0.13,False,,False,DE,Mobile
TCK133704,2025-06-07,2025-06-07T18:34:00,Shipping Issue,Package marked delivered but not received,Customer's tracking shows delivered status but they have not received the package.,Open,,High,Community Forum,community_forum,True,shipping,free,unresolved,False,33.21,,AG1137,0.32,False,,False,UK,Desktop
TCK136127,2025-06-08,2025-06-08T16:44:00,General Inquiry,Question about account settings,Customer has a general question about managing their account settings.,Open,,Medium,Community Forum,community_forum,True,general_inquiry,enterprise,unresolved,False,48.31,,AG1078,0.51,False,,False,AU,Mobile
TCK109506,2025-06-08,2025-06-08T23:20:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,Medium,Community Forum,community_forum,True,technical_issue,paid_basic,resolved_bot,True,74.74,77.86,,0.5,False,,False,UK,Mobile
TCK136893,2025-06-08,2025-06-08T12:11:00,Returns/Refunds,Return window question,Customer is asking whether their item still qualifies for return.,Closed,Confirmed item is within return window and proceeded with return.,Low,Community Forum,community_forum,True,returns_refunds,free,resolved_bot,True,195.95,199.39,,0.29,True,1.0,False,CA,Mobile
TCK147435,2025-06-09,2025-06-09T19:59:00,Billing Inquiry,Request to downgrade subscription plan,Customer wants to downgrade their current subscription plan to a lower tier.,Closed,Subscription downgraded effective next billing cycle as requested.,High,Community Forum,community_forum,True,billing,paid_basic,resolved_bot,True,30.33,32.43,,0.38,False,,False,IN,Mobile
TCK114589,2025-06-09,2025-06-09T15:24:00,Billing Inquiry,Question about subscription renewal,Customer is asking when their subscription will renew and at what price.,Closed,Provided renewal date and pricing details; customer confirmed satisfaction.,Medium,Phone,phone,False,billing,free,resolved_agent,False,8.9,58.99,AG1035,9.97,False,,False,IN,Mobile
TCK144231,2025-06-10,2025-06-10T08:49:00,Billing Inquiry,Unable to update payment method,Customer is unable to update their credit card details on the billing page.,Pending Customer Response,,High,Phone,phone,False,billing,paid_premium,unresolved,False,7.3,,AG1103,16.3,False,,False,FR,Desktop
TCK126037,2025-06-11,2025-06-11T01:08:00,Technical Issue,Integration with third-party tool failing,Customer cannot connect their account to a third-party integration tool.,Closed,Reconnected the integration using updated API credentials.,High,Community Forum,community_forum,True,account_access,paid_basic,resolved_bot,True,322.43,322.69,,0.25,True,1.0,False,DE,Mobile
TCK122367,2025-06-13,2025-06-13T01:07:00,General Inquiry,Question about data privacy,Customer has questions regarding how their data is used and stored.,Closed,Shared privacy policy details and answered customer's specific questions.,Medium,Email,email,False,general_inquiry,paid_premium,resolved_agent,False,249.77,312.66,AG1180,5.43,False,,False,IN,Mobile
TCK125466,2025-06-14,2025-06-14T16:00:00,Returns/Refunds,Refund amount lower than expected,Customer noticed their refund amount was lower than the original purchase price.,Closed,Refund discrepancy traced to a partial restocking fee; explained to customer.,Low,Phone,phone,False,returns_refunds,paid_premium,resolved_agent,False,2.82,42.82,AG1121,9.97,False,,False,FR,Desktop
TCK118218,2025-06-18,2025-06-18T00:41:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Critical,Chatbot,self_serve_bot,True,account_access,paid_premium,resolved_bot,True,0.85,1.32,,0.5,False,,False,CA,Desktop
TCK149717,2025-06-19,2025-06-19T01:22:00,General Inquiry,Question about data privacy,Customer has questions regarding how their data is used and stored.,Open,,Medium,Community Forum,community_forum,True,general_inquiry,enterprise,escalated_to_agent,False,42.57,,AG1014,9.78,False,,False,UK,Tablet
TCK111645,2025-06-19,2025-06-19T09:46:00,Technical Issue,Unable to log in to account,Customer is unable to log in despite entering correct credentials and resetting password.,Pending Customer Response,,High,Community Forum,community_forum,True,account_access,paid_premium,escalated_to_agent,False,6.95,,AG1167,5.14,False,,False,US,Desktop
TCK126695,2025-06-20,2025-06-20T04:46:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,Low,Email,email,False,technical_issue,paid_basic,resolved_agent,False,188.26,191.11,AG1123,4.11,False,,False,AU,Desktop
TCK102854,2025-06-20,2025-06-20T15:41:00,Billing Inquiry,Discrepancy in billed amount,Customer believes the amount billed does not match their selected plan.,Closed,Billing discrepancy traced to a plan change mid-cycle; prorated correctly and explained.,Medium,Phone,phone,False,billing,free,resolved_agent,False,3.51,10.4,AG1193,12.91,False,,False,CA,Mobile
